State
AL
AZ
PA
CO
GA
KS
NC
NY
TX
TX
WA
AK
HI
Korea
USAREUR
ID
IN
LA
MA
NE
PA
TBD
TBD
GA
GA
MO
VA
KY
NC
CO
GA
KS
KY
LA
NC
NY
OK
TX
TX
WA
AK
AK
HI
Korea
Germany
Kuwait
AL
AR
AZ
CA
CT
DE
District of Columbia
FL
GA
IA
ID
IL
IN
KS
KY
LA
MA
MD
ME
MI
MN
MO
MS
MT
NC
ND
ND
NH
NJ
NV
NV
NY
OH
OK
OR
PA
RI
SC
SC
TN
TX
UT
VA
VI
AK
GU
HI
PR
